__v,_id,name,networth.rank,networth.total,uuid
0,61812c0cef783fa0d45ed4ea,Conventionality,1,117485336508.64404,6ed0cc458b4d47b8b1dc433ebc93702b
0,61812d90ef783fa0d45fbffc,Haasher,33,34022721427.49999,8fcfcd16607d40f0850d2a86e9679914
0,61814260ef783fa0d46a2035,fela22,6,70799747179.94557,7bd7aef6ac9b44d89c53b648ea2bc704
0,61814f15ef783fa0d470afe7,unforgiven101,10,61217935664.84236,355b958941694453a9ab43eada728d1c
0,61816129ef783fa0d479e0f6,boofyOOF,23,40737559831.45195,1cb36e3f0b0742ea8abe396a70d234a4
0,618163dbef783fa0d47b4224,Atelics,44,30297421348.708736,6bcd0d29c26b427c840cac963d42dd12
0,61818530ef783fa0d48c7b13,Blazing_Jam,55,27471998369.64616,88f67258daa34d61a8913bcbd401b327
0,618190c0ef783fa0d4927111,dukioooo,28,36888454403.50269,5435b597612f4554a3c651fd1c3ee96a
0,61819763ef783fa0d495def1,xWhipNaeNaeLordx,67,25912822729.85405,6b3271dcef0143e486d34ed226f97761
0,61819febef783fa0d49a44c7,uwucracked,31,34635465993.84291,60e353bbcfca4d0ca5214815bd064f23
0,6181a36fef783fa0d49bf71e,Solas_Devin,56,27202052756.61034,311b651b782844a0a0889130922434ca
0,6181b549ef783fa0d4a51b6e,Skreewy,59,27052924468.238262,63fe6f4c4b0643b2abd02d15dc303e41
0,6181bad0ef783fa0d4a81c15,Ratzou2,54,27701399466.610962,e4f317cef6ea4bbd95842d62a4756c3f
0,6181c484ef783fa0d4acf5e8,Makiso,7,66496587072.210205,cbcb73e308b14248b5846c1696b6d60b
0,61820845ef783fa0d4d0410c,Fuggles,43,30552487316.17001,2a58aaa3374a46c48f473af5921c21c3
0,61825af1ef783fa0d4f9fff6,c00kiecr33per,64,26596851344.842545,f8afcbe455d242e1aaa6722d3ed110bc
0,6182729def783fa0d405ea5d,KaraiiUwU,42,31141205848.48807,2e898355990348409c49fe29265009d5
0,6182b1d2ef783fa0d4278088,mushroomhuntress,30,35233942435.93766,66cb6384bbce477c854b815548458224
0,6182f4d7ef783fa0d442143a,uwuRqn,12,51211810169.13332,c713e1ef28844ceaaac306c44e39505f
0,61831f01ef783fa0d4507a34,Gynesis,47,29160310157.13822,23c3d6c94a194c7995d8f7e9bfb19b45
0,61834eb2ef783fa0d4600ac6,Okeyy,79,25260208390.40989,608cb39b041846b582a3161b76b43759
0,61842939ef783fa0d4b99988,Gerk,52,27772861583.710606,012f8ba6c5534d3ebc39d464e28b2d52
0,618436bfef783fa0d4bf985e,Worthiy,58,27104560875.53151,d07735709ab6483693b5bd1e5cd8a26f
0,618591e0ef783fa0d44f407d,BCrule,92,23588140609.69503,629b648ffe5347b28520faa46dda9924
0,618745caef783fa0d415bdde,Diraconda,77,25299822645.09618,a2b83b0ae98944d3b755297bce56abac
0,61885d7cef783fa0d469222d,FingaMan,37,32203973060.33175,c558970dca7343a79083825bacfa65c7
0,6189da55ef783fa0d401aac0,RolfOfHouseRolf,38,31903366000.80088,073a5abb4b734339a1e90ef43d504842
0,618bf1a4ef783fa0d4dc50ab,Babied,78,25274180241.224422,c292facc42914de8b47c560e7cda96ed
0,618c0492ef783fa0d4e2ad14,byToxical,86,24218599934.690796,d472f48813c941148c5a3c360e87c40b
0,618c5918ef783fa0d402c653,Queper,69,25819727732.534676,3568aae7bd0b40e3b12988aaa4d77bc6
0,618cf1d8ef783fa0d4516370,MinosVillager,27,39125210651.61176,685b13b0842f4fb4abc0479da40e6f4b
0,618d12f8ef783fa0d46219af,C0XKIES,98,23369279703.02547,d3479956659e430cb33d8096141523c9
0,618d9681ef783fa0d4a80262,Moxnz,35,32700941487.53495,ce9080b0e9344bf286afbcf4b5bf83ed
0,618d977cef783fa0d4a89449,justRize,111,22009789938.37698,88687e0e24d940229868279d55616c26
0,618e01cdef783fa0d4dfd99a,WiseDrag,90,23673928533.86424,e41e5d0d854e415f93b4a3218e374caa
0,618f2fb1ef783fa0d45a5a5f,Awesomah,5,74352178404.25046,70c86e94562f4f0a8f928b105d278255
0,6190d9e2ef783fa0d4f551b9,NotAnArtisticDud,93,23543144073.442284,2f92efca27f043f6acde7ab74313b5d9
0,6191c282ef783fa0d46a4ef3,fekzy,119,21767168439.044407,5586e19654db44dd97c8ef12b3694263
0,61921a47ef783fa0d49696a2,hihoohey,96,23441613791.53009,4f7423f2073740dfb7c2a7b233b9677d
0,619361dcef783fa0d42d9796,7R7,62,26937867062.836586,3ffc65982a904193a8e17f241ddef6cd
0,6193ebdbef783fa0d462798b,Aimar,24,40723095923.61886,0625fd8f36d746eeb7cb6a0972c0df0d
0,6193ebe6ef783fa0d4627e3b,Haardzz,65,26213433547.28963,faa22b4657db4ab58cb9e0ef97bcf80a
0,61952ffbef783fa0d4c4fab8,SirMax04,107,22387130188.166412,958130c5d7124a3dbf86397c14c392a0
0,6195929fef783fa0d4e3b128,SalmonAlt,49,28070804820.690525,a7f63f89061f41409828bc806eb23b51
0,61965a10ef783fa0d42521b6,lampless,19,44808518361.71002,a68c92d3963942e3b1c695241fcfa2c0
0,6196917fef783fa0d43f217f,QuiGonJiin,36,32205471669.779236,d9b8076a1a99405c9ae6bffb44e2a070
0,61980794ef783fa0d4cfde1b,ImNotHim,40,31396587699.409847,23467d4464474adfb77c1e5a044e5e5b
0,6198951aef783fa0d4fecebe,chark001,106,22510917621.043667,a37dc84fad554a5d94f01a85f8b5d1da
0,619bd88fef783fa0d414fa3d,_Estelle,130,20450958870.115227,3b2fd5439e224d84bc953a45925497c4
0,619d0589ef783fa0d4b050fd,Nanify,105,22577595814.130196,81ade684790e4c1bb209a9e7104e3e11
0,619d5349ef783fa0d4d87530,NirBehar,95,23492904629.920807,9192d5b4fcb6490c9c79f9204fefbb56
0,619f2a84ef783fa0d483141e,Dulkir,66,26171662530.055824,e23e44f605f24f23b65e51b449dd0c0d
0,619fcf5fef783fa0d4ab545a,Jiyn,101,22825056269.94334,4fef66aace5641b6b4b2bf272d765d9f
0,61a014f5ef783fa0d4bc8673,holy_frick,50,28042182469.99875,29baf21ea788440da3f132b0a1ab01c3
0,61a0f654ef783fa0d402350e,BumbleTrixx,34,33339575288.786095,92d940ad10e84d9da795adcf5fd6b0c6
0,61a182b6ef783fa0d43f0102,BasicLyfe,99,23262795880.391716,d8e9420e3bc0418abebb55c7f10d82e0
0,61a1df71ef783fa0d464a154,Shunichi,82,25017462381.39421,4aa5f7a5b0db4bd29f7af48d9305405a
0,61a24189ef783fa0d48e6381,Awuff,109,22300892659.717754,e7631424c1f4494c94c33300de843797
0,61a28ccdef783fa0d4b03128,eif,121,21234098329.654724,dcfbcf9717a944a1980de313af7eeca9
0,61a40386ef783fa0d44ceaf6,NewEriwan,3,83601668637.23946,6fd1d52fcb0f4d97b8d84542f93f2658
0,61a45b86ef783fa0d470c584,Brians_,103,22656784844.957546,e40d2c23f6c2488393b42661770889cd
0,61a4f217ef783fa0d4adf006,account_id,102,22701753960.267323,b77779e22aed411ab8b6d0e943b34443
0,61a5cee9ef783fa0d410a89c,_Recolour,116,21775496752.06964,b8f341b78e574deaa9a553e28312e46b
0,61a690a2ef783fa0d462ac15,RaquertyQuill,117,21771691465.045986,224e8caa53f74b0ba38439474fbcbf97
0,61a692f2ef783fa0d463af80,cmslash,88,23995766165.40131,3cd8f9f7b468467db7178414f4b1ecd9
0,61a6be02ef783fa0d476e4f7,JollySophia,53,27744424739.058624,6329d4d93f04421ab95d356086fce83c
0,61a7d8f80d4bb82fdd9af44e,JollyAndrew,128,20691480870.06301,30255557d21d4a80b3f4cfc0e96d2b41
0,61a8923a0d4bb82fddefbe7e,Vortie,104,22616736380.983807,1b524fe49c5c4fe599840bdd7c790bf0
0,61a8aa7b0d4bb82fddfa79d8,Thewsy,74,25480049168.923832,ee7ac3150e8b4a5f88d415c1f7a44a0a
0,61a8c9db0d4bb82fdd08e3f9,OSuperiorEnder,123,21190657028.04648,4995579a28f647dfbc03f33fd2aec058
0,61a8ee830d4bb82fdd1a7030,serudofu,125,20915454493.23344,353b2ad0083849da9f5f496a00c0a2c8
0,61a8f9db0d4bb82fdd1fd04a,Olanga,94,23513206836.695755,2cb04dea8cda485c8cfbd4afdd52492b
0,61a95c1a0d4bb82fdd4f39e8,_Foe,29,35882377023.67193,c0a5e970db87492e93c260f8221d1c98
0,61a9dca60d4bb82fdd8b0d1d,alphieboo,26,39512520103.70221,86a7793c061743deb2e4894a5d2e5ccd
0,61a9f22d0d4bb82fdd94c59c,Totally_Alex,75,25458745499.31304,5c6d8f6645b24a5ca37970053ffd32d6
0,61a9f8e90d4bb82fdd97bc4a,kidZDragoon,80,25164595111.66312,3c85f2a242cf4123b56a3194ab0569c5
0,61a9fefb0d4bb82fdd9ab7fc,Undertaker01,46,29676751878.16284,5a221d35a3d84745866aeaccdf67ecdb
